0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
10795723506538053,IRT1FIRO0001,فيروزا,صندوق ارمغان فيروزه آسيا-ثابت,122005,29889,28673,28668,147,1876092,53793928103,28667,29889,28624,,1,1762,1,68,31486.00,25762.00,300000000,305
10831074117626896,IRO7GHUP0001,قاروم,قند اروميه,115914,167750,167750,167750,25,40703,6827928250,167750,167750,172900,6111,1,2912,4,38,178050.00,167750.00,171600000,309
10843114830116591,IRO7BRTP0001,نبروج,نساجي بروجرد,95625,22500,22500,22500,2,1000,22500000,22500,22500,22100,2021,1,2351,4,17,22500.00,21700.00,148212165,309
11129387075131725,IRO1TMLT0001,تملت,تامين سرمايه بانك ملت,122102,3437,3436,3449,531,2368099,8144014993,3401,3499,3435,341,6400000,3099,1,67,3641.00,3229.00,16000000000,300
11258722998911897,IRO1SKBV0001,وسكاب,س.ص.بازنشستگي كاركنان بانكها,121922,2740,2763,2720,249,1970954,5404790939,2710,2799,2775,1090,5405405,2732,1,56,2941.00,2609.00,12000000000,300
11273669187884551,IRT3MEYF0002,گنجينه2,صندوق س. گنجينه داريوش-د,93816,1,1,1,5,20500000,20500000,1,1,10004,,1,319,2,68,1.00,1.00,100000000,305
11403770140000603,IRO1VLMT0001,ولملت,واسپاري ملت,122114,4219,4088,4094,234,2281768,9485937946,4094,4219,3981,285,3767898,2642,1,58,4219.00,3743.00,1500000000,300
11427939669935844,IRT3SATF0001,اطلس,صندوق س.توسعه اندوخته آينده-س,122007,273001,269759,267212,417,85953,23186606201,267212,273001,273634,186,1,4208,2,68,300997.00,246271.00,1000000000,305
11432067920374603,IRO1DSIN0001,دسينا,داروسازي‌ سينا,122001,23600,23840,23350,100,336386,7955705190,23300,24000,24070,3067,623182,2524,1,43,25270.00,22870.00,800000000,300
11622051128546106,IRO1PAKS0001,شپاكسا,پاكسان‌,122110,2095,2073,2035,612,12670624,26267824094,2035,2149,2129,29,7045561,3183,1,44,2256.00,2002.00,9221398000,300
11773403764702778,IRO1BIME0001,وبيمه,سرمايه‌ گذاري‌ صنعت‌ بيمه‌,121752,1550,1545,1528,232,2473868,3799530186,1510,1563,1548,182,9689922,2730,1,56,1640.00,1456.00,5000000000,300
11964419322927535,IRO1SROD0001,سرود,سيمان‌شاهرود,122110,22800,22950,22330,107,176092,3935023470,22120,22800,23180,3492,647110,2973,1,53,24570.00,21790.00,810000000,300
12277500298791438,IRT1FRDA0002,فردا2,صندوق س آواي فرداي زاگرس-ثابت,90953,1,1,1,14,14000000,14000000,1,1,13337,,1,283,1,68,1.00,1.00,4000000000,305
12303918642491681,IRO7ZNJP0001,زنجان,صنايع كشاورزي وكود زنجان,122119,3200,3279,3307,468,5774790,18937832582,3138,3329,3233,-21,3093103,3238,4,44,3329.00,3137.00,3500000000,309
12329519546621752,IRO1CHDN0001,چدن,توليدي چدن سازان,122102,2117,2098,2099,400,7470220,15670421135,2030,2133,2078,236,7218479,3046,1,28,2202.00,1954.00,8629813000,300
12387472624849835,IRO1DOSE0001,داسوه,داروسازي‌ اسوه‌,122044,36290,38200,37210,82,67151,2566147020,36290,39220,38200,3114,392670,2541,1,43,40110.00,36290.00,750000000,300
12390706505809150,IRTKKIAN0001,گوهر,صندوق سكه طلاي كيان,122058,78200,77399,77000,110,77866,6026780307,77000,78200,78361,,1,1182,7,68,86197.00,70525.00,200000000,380
12490072956930435,IRO3ISMZ0001,مديريت,س. و خدمات مديريت صند. ب كشوري,122118,7450,7310,7350,1950,10161041,74314621420,7200,7450,7430,2826,1,3703,2,56,7870.00,6990.00,1500000000,303
12638840758449459,IRO3PKSH0001,پخش,پخش البرز,122012,37100,37050,36400,440,1923981,71322106500,35350,37450,36750,3018,1,2943,2,43,38550.00,34950.00,1400000000,303
12746730665870442,IRO3BHPZ0001,بهپاك,صنعتي بهپاك,122106,6910,7130,7030,354,2035140,14511866610,6910,7290,7060,596,1,3096,2,42,7480.00,6640.00,3099000000,303
12752224677923341,IRO1RIIR0001,خريخت,صنايع‌ريخته‌گري‌ايران‌,122110,3130,3204,3200,883,14858976,47606396308,3120,3259,3104,319,4832474,3204,1,34,3259.00,2949.00,2187183447,300
12777578088653944,IRO7HSIP0001,وحكمت,بيمه حكمت صبا,122121,1372,1437,1444,273,9766107,14030872051,1372,1444,1402,71,7132668,2551,4,66,1444.00,1360.00,3113475000,309
12874072841236826,IRO1FSAZ0001,فسازان,غلتك سازان سپاهان,122113,4000,3916,3850,1788,21336281,83543368670,3798,4030,3983,331,3766006,4108,1,27,4182.00,3784.00,3000000000,300
12901875871456398,IRO7RAZP0001,ولراز,ليزينگ رازي,121703,22350,22650,22350,41,157289,3515409150,22350,22350,23000,-54,305000,2855,4,58,23650.00,22350.00,61000000,309
12913156843322499,IRTKNAHL0001,نهال,صندوق س. طلاي سرخ نوويرا,121444,21004,20999,21000,64,321908,6759837998,20980,21199,21177,,1,811,7,68,23294.00,19060.00,99000000,380
12965822877128721,IRO7QAZP0001,ثقزوي,شركت عمران و سازندگي قزوين,113926,12160,12420,12160,25,234866,2855970560,12160,12160,12530,-177,798085,2722,4,70,12900.00,12160.00,200000000,309
13227300125161435,IRO1SSOF0001,سصوفي,سيمان‌ صوفيان‌,122030,21240,20900,20570,375,1440130,30094238050,20020,21240,20990,2546,714626,3281,1,53,22240.00,19740.00,1100000000,300
13235547361447092,IRO3PZGZ0001,زاگرس,پتروشيمي زاگرس,122120,131000,128700,126400,1795,559027,71935660450,124500,131800,130100,12671,1,4555,2,44,136600.00,123600.00,2400000000,303
13243992182070788,IRO3RAPZ0001,درهآور,دارويي ره آورد تامين,122113,29250,28400,28300,204,558936,15885612300,27550,29250,27900,4018,537828,3987,2,43,29550.00,26250.00,250000000,303
13281937213456378,IRO3RSKZ0001,حسير,ريل سير كوثر,121931,21000,20300,20000,524,1326961,26945106050,19700,21000,20100,504,1,3288,2,60,21300.00,18900.00,602947306,303
13611044044646901,IRO1BMEL0001,ملت,بيمه ملت,122108,1136,1163,1143,1026,25847459,30057533408,1136,1180,1127,95,13309672,3394,1,66,1194.00,1060.00,30657213899,300
13666407494621646,IRT3FDKF0001,فراز,صندوق س.سهام فراز داريك-س,121934,15470,15466,15465,75,264330,4088064768,15465,15470,15464,,1,1718,2,68,17010.00,13918.00,100000000,305
13937270451301973,IRO1TSBE0001,وبشهر,توسعه‌ صنايع‌ بهشهر(هلدينگ,122007,7730,7800,7800,304,3436915,26963130630,7690,7990,7730,476,6000000,4676,1,42,8190.00,7270.00,15000000000,300
14073782708315535,IRO1NPRS0001,شنفت,نفت‌ پارس‌,122037,7460,7670,7620,206,928332,7039208330,7450,7650,7680,733,6676454,2855,1,23,8140.00,7220.00,16691134000,300
14079693677610396,IRO1ASTC0001,اسياتك,انتقال داده هاي آسياتك,122029,16600,16280,16240,5506,14346215,233554571850,16240,16940,17090,681,877706,5818,1,73,17940.00,16240.00,2000000000,300
14230681955555738,IRT1ARAM0001,آرام,صندوق س شاخصي آرام مفيد,122029,10780,10720,10620,685,2048882,21958283620,10610,10910,10800,,1,2360,1,68,11880.00,9720.00,2000000000,305
